City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Urucara,BR,-2.5364,-57.76,79.5,91,73,3.31,broken clouds
149,Lavrentiya,RU,65.5833,-171.0,17.47,90,96,4.97,overcast clouds
150,Semey,KZ,50.4111,80.2275,34.66,70,0,6.2,clear sky
151,Tanete,ID,-3.9443,119.7848,72.37,96,53,1.81,broken clouds
152,Nikolskoye,RU,59.7035,30.7861,37.87,96,100,5.48,overcast clouds
153,Novoagansk,RU,61.9449,76.6625,-3.37,99,100,3.38,overcast clouds
154,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,71,75,23.51,broken clouds
155,Pecos,US,31.4229,-103.4932,88.63,7,40,0.0,scattered clouds
156,Qaanaaq,GL,77.484,-69.3632,0.64,75,93,3.47,overcast clouds
157,Port Hedland,AU,-20.3167,118.5667,75.25,83,5,5.75,clear sky
158,Barreiras,BR,-12.1528,-44.99,82.29,33,25,1.88,scattered clouds
159,Gravdal,NO,68.1214,13.5031,38.34,80,100,12.26,overcast clouds
160,Labuhan,ID,-6.8844,112.2051,76.51,89,98,8.08,overcast clouds
161,Andreyevo,RU,55.9465,41.1505,37.17,97,100,5.1,overcast clouds
162,Airai,TL,-8.9266,125.4092,58.37,66,99,2.17,overcast clouds
163,Nivala,FI,63.9167,24.9667,33.69,92,79,8.79,light snow
164,Butaritari,KI,3.0707,172.7902,80.42,79,100,13.56,moderate rain
165,Ostersund,SE,63.1792,14.6357,28.85,100,75,3.44,broken clouds
166,Jaque,PA,7.5175,-78.1703,79.83,87,100,2.95,moderate rain
167,Esmeraldas,BR,-19.7625,-44.3139,74.44,80,100,3.91,overcast clouds
168,Jijiga,ET,9.35,42.8,68.99,56,31,5.3,scattered clouds
169,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,0,13.8,clear sky
170,Shubarshi,KZ,48.5872,57.1869,47.61,80,100,8.88,overcast clouds
171,Chapleau,CA,47.8405,-83.4034,28.49,80,100,9.22,overcast clouds
172,Mayo,US,38.8876,-76.5119,56.55,47,100,14.0,overcast clouds
173,Carnarvon,AU,-24.8667,113.6333,66.27,77,100,11.5,overcast clouds
174,Gondar,ET,12.6,37.4667,69.66,23,49,2.62,scattered clouds
175,Egvekinot,RU,66.3167,-179.1667,7.0,91,100,2.3,overcast clouds
176,Gayny,RU,60.3071,54.3241,37.2,100,100,7.56,overcast clouds
177,Yarada,IN,17.65,83.2667,82.72,83,40,6.91,mist
178,Tabas,IR,33.5959,56.9244,75.42,16,100,2.3,overcast clouds
179,Urumqi,CN,43.801,87.6005,52.75,44,0,4.47,moderate rain
180,Constitucion,CL,-35.3333,-72.4167,60.08,72,7,6.96,clear sky
181,Escanaba,US,45.7453,-87.0646,44.56,64,75,8.05,broken clouds
182,Tazovskiy,RU,67.4667,78.7,-14.04,100,90,7.4,overcast clouds
183,Sistranda,NO,63.7256,8.834,37.36,69,100,14.63,overcast clouds
184,Altamira,BR,-3.2033,-52.2064,86.09,74,20,2.3,few clouds
185,Upernavik,GL,72.7868,-56.1549,1.38,94,66,5.77,broken clouds
186,Sola,VU,-13.8833,167.55,82.56,69,65,14.18,broken clouds
187,Niquero,CU,20.0431,-77.5828,81.9,67,74,16.35,broken clouds
188,Belem De Sao Francisco,BR,-8.7539,-38.9658,84.31,52,77,19.22,broken clouds
189,Aswan,EG,24.0934,32.907,85.73,15,6,12.48,clear sky
190,Kavieng,PG,-2.5744,150.7967,80.69,78,86,4.7,overcast clouds
191,Biak,ID,-0.9131,122.8766,76.53,80,100,3.33,overcast clouds
192,Nishihara,JP,26.1842,127.7558,71.65,91,100,10.36,overcast clouds
193,Flinders,AU,-34.5833,150.8552,61.18,94,14,7.0,few clouds
194,Saint-Pierre,RE,-21.3393,55.4781,77.29,75,100,11.5,overcast clouds
195,San Luis,AR,-33.295,-66.3356,80.2,36,0,16.67,clear sky
196,Bubaque,GW,11.2833,-15.8333,76.6,75,28,17.83,scattered clouds
197,Clyde River,CA,70.4692,-68.5914,3.43,85,100,2.3,light snow
198,Muzhi,RU,65.3667,64.6667,25.61,95,100,9.24,overcast clouds
199,Atar,MR,20.5169,-13.0499,80.31,7,0,5.84,clear sky
200,Kodiak,US,57.79,-152.4072,36.91,32,0,12.66,clear sky
201,Carutapera,BR,-1.195,-46.02,75.2,94,100,6.02,overcast clouds
202,Gloversville,US,43.0528,-74.3438,50.14,73,75,8.05,broken clouds
203,Karratha,AU,-20.7377,116.8463,80.4,44,8,10.78,clear sky
204,Mount Isa,AU,-20.7333,139.5,76.77,38,79,6.91,broken clouds
205,Penzance,GB,50.1186,-5.5371,38.08,60,78,6.49,broken clouds
206,Ust-Tsilma,RU,65.441,52.1498,36.52,99,100,8.57,overcast clouds
207,Cabedelo,BR,-6.9811,-34.8339,81.27,81,82,12.88,broken clouds
208,Whitehorse,CA,60.7161,-135.0538,32.09,86,100,9.22,light snow
209,Shimoda,JP,34.6667,138.95,61.11,76,0,4.36,clear sky
210,Lalgudi,IN,10.8667,78.8333,79.12,89,40,1.14,mist
211,Avera,US,33.194,-82.5271,54.37,40,100,18.88,overcast clouds
212,Vao,NC,-22.6667,167.4833,77.43,84,65,20.22,broken clouds
213,Honiara,SB,-9.4333,159.95,80.76,76,69,4.25,broken clouds
214,Longyearbyen,SJ,78.2186,15.6401,21.04,68,20,16.11,few clouds
215,Bluff,NZ,-46.6,168.3333,56.66,76,51,21.32,broken clouds
216,Chokurdakh,RU,70.6333,147.9167,-14.28,99,98,4.54,overcast clouds
217,Esperance,AU,-33.8667,121.9,56.55,68,47,8.9,scattered clouds
218,Pangnirtung,CA,66.1451,-65.7125,18.93,87,100,2.13,overcast clouds
219,Paramonga,PE,-10.6667,-77.8333,72.21,76,38,10.07,scattered clouds
220,Santa Rosa,PH,14.3122,121.1114,78.78,87,63,4.52,broken clouds
221,Abalak,RU,58.1286,68.5944,25.88,95,12,4.56,few clouds
222,Uige,AO,-7.6087,15.0613,66.9,97,100,1.16,overcast clouds
223,Edd,ER,13.9297,41.6925,87.35,37,0,17.34,clear sky
224,Mackay,AU,-21.15,149.2,76.68,86,82,18.34,broken clouds
225,Marabba,SD,12.35,32.1833,96.19,23,81,10.4,broken clouds
226,Simao,CN,22.7886,100.9748,58.46,76,0,1.86,clear sky
227,Terrace,CA,54.5163,-128.6035,42.71,48,75,3.44,broken clouds
228,Villanueva De Cordoba,ES,38.3228,-4.6287,52.95,87,93,3.18,overcast clouds
229,Ornskoldsvik,SE,63.2909,18.7153,27.55,100,75,4.61,broken clouds
230,Encruzilhada Do Sul,BR,-30.5439,-52.5219,65.01,89,69,6.73,broken clouds
231,Saldanha,ZA,-33.0117,17.9442,65.44,50,0,10.76,clear sky
232,Nelson Bay,AU,-32.7167,152.15,66.0,96,19,4.74,few clouds
233,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,8.05,clear sky
234,Cervo,ES,43.6702,-7.4101,50.97,88,64,9.46,broken clouds
235,Kuching,MY,1.55,110.3333,73.62,100,40,0.0,scattered clouds
236,Barsi,IN,18.2333,75.7,86.36,39,99,11.81,overcast clouds
237,Blyznyuky,UA,48.8578,36.5551,51.22,73,100,14.27,overcast clouds
238,Ishigaki,JP,24.3448,124.1572,73.53,94,75,6.91,broken clouds
239,Jiwani,PK,25.05,61.7417,81.39,70,99,17.69,overcast clouds
