City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Omboue,GA,2022-04-03 01:17:29,-1.5746,9.2618,73.27,94,82,2.26
204,Sangar,RU,2022-04-03 01:17:30,63.9242,127.4739,19.78,85,100,0.74
205,Kitami,JP,2022-04-03 01:17:30,43.8031,143.8908,49.46,49,0,6.98
206,Betare Oya,CM,2022-04-03 01:17:30,5.6,14.0833,70.27,66,100,4.0
207,Conde,BR,2022-04-03 01:17:31,-7.2597,-34.9075,78.26,89,20,4.61
208,Amahai,ID,2022-04-03 01:17:31,-3.3333,128.9167,83.52,71,99,0.98
209,La Ronge,CA,2022-04-03 01:17:32,55.1001,-105.2842,35.85,44,75,3.44
210,Gumdag,TM,2022-04-03 01:17:32,39.2061,54.5906,66.76,22,0,6.64
211,Naze,JP,2022-04-03 01:17:32,28.3667,129.4833,58.12,73,100,15.3
212,Laguna,US,2022-04-03 01:13:51,38.421,-121.4238,80.89,20,0,9.22
213,Aripuana,BR,2022-04-03 01:17:33,-9.1667,-60.6333,71.38,99,49,2.01
214,Harper,LR,2022-04-03 01:17:33,4.375,-7.7169,78.67,87,100,8.77
215,Sorong,ID,2022-04-03 01:17:34,-0.8833,131.25,81.66,81,100,6.8
216,Ust-Maya,RU,2022-04-03 01:17:34,60.4167,134.5333,22.3,78,100,6.64
217,Rosario,AR,2022-04-03 01:17:34,-32.9468,-60.6393,62.08,74,0,5.75
218,Ahipara,NZ,2022-04-03 01:17:35,-35.1667,173.1667,69.73,73,100,0.94
219,Springbok,ZA,2022-04-03 01:17:35,-29.6643,17.8865,55.24,69,94,0.72
220,Nizhniye Sergi,RU,2022-04-03 01:17:35,56.6614,59.3033,32.77,99,100,3.44
221,Sola,VU,2022-04-03 01:17:36,-13.8833,167.55,81.86,76,100,13.58
222,Buchanan,LR,2022-04-03 01:17:36,5.8808,-10.0467,76.39,90,100,6.71
223,Saldanha,ZA,2022-04-03 01:17:36,-33.0117,17.9442,60.04,81,0,11.54
224,Ribeira Grande,PT,2022-04-03 01:18:37,38.5167,-28.7,59.9,74,100,19.51
225,Nova Borova,UA,2022-04-03 01:18:37,50.693,28.6345,33.04,97,100,6.73
226,Codrington,AU,2022-04-03 01:18:37,-38.2667,141.9667,63.86,65,97,5.95
227,Meulaboh,ID,2022-04-03 01:17:27,4.1363,96.1285,77.36,87,100,1.83
228,Huron,US,2022-04-03 01:18:38,41.1501,-82.5499,42.33,70,90,3.09
229,Sioux Lookout,CA,2022-04-03 01:18:38,50.1001,-91.917,33.87,69,100,6.91
230,Casper,US,2022-04-03 01:18:38,42.8666,-106.3131,58.71,24,20,9.22
231,Lakes Entrance,AU,2022-04-03 01:18:39,-37.8811,147.981,61.16,95,100,15.39
232,Galle,LK,2022-04-03 01:18:39,6.0367,80.217,78.15,80,13,1.21
233,Mataura,NZ,2022-04-03 01:18:39,-46.1927,168.8643,63.41,55,39,6.87
234,Aravankadu,IN,2022-04-03 01:18:40,11.3667,76.7667,59.22,75,9,1.54
235,Nioro,GM,2022-04-03 01:18:10,13.35,-15.75,76.17,31,100,9.26
236,Labuan,MY,2022-04-03 01:18:40,5.2767,115.2417,80.96,94,20,2.3
237,Dikson,RU,2022-04-03 01:18:41,73.5069,80.5464,-5.46,100,26,8.12
238,Tarbert,GB,2022-04-03 01:17:20,55.8628,-5.4162,38.3,86,100,3.83
239,Rocha,UY,2022-04-03 01:17:28,-34.4833,-54.3333,54.64,92,0,7.56
240,Mahanje,TZ,2022-04-03 01:18:41,-9.9333,35.3333,65.21,93,93,1.39
241,Bafata,GW,2022-04-03 01:18:42,12.1667,-14.75,74.95,57,21,6.08
242,Tenenkou,ML,2022-04-03 01:18:42,14.4572,-4.9169,84.51,11,2,3.38
243,Broken Hill,AU,2022-04-03 01:18:42,-31.95,141.4333,66.06,38,62,2.3
244,Ostrovnoy,RU,2022-04-03 01:18:43,68.0531,39.5131,16.02,92,100,12.66
245,Luba,GQ,2022-04-03 01:18:43,3.4568,8.5547,80.31,82,100,8.97
246,Wasilla,US,2022-04-03 01:18:43,61.5814,-149.4394,45.95,43,0,13.8
247,Gimli,CA,2022-04-03 01:18:44,50.6336,-96.9907,32.02,64,100,4.61
248,Babylon,US,2022-04-03 01:18:44,40.6957,-73.3257,45.25,71,0,10.36
249,Qianan,CN,2022-04-03 01:18:44,44.9932,124.0581,51.58,29,29,19.89
250,Abu Kamal,SY,2022-04-03 01:18:45,34.4506,40.9171,70.21,18,100,9.55
251,Nikolskoye,RU,2022-04-03 01:18:45,59.7035,30.7861,25.88,95,5,2.75
252,Acapulco,MX,2022-04-03 01:18:45,16.8634,-99.8901,78.62,73,75,12.66
253,Sao Gabriel Da Cachoeira,BR,2022-04-03 01:18:46,-0.1303,-67.0892,72.73,98,100,3.89
254,Kruisfontein,ZA,2022-04-03 01:18:46,-34.0033,24.7314,61.88,94,100,8.66
255,Lerwick,GB,2022-04-03 01:18:46,60.1545,-1.1494,42.8,80,100,15.3
256,Cidreira,BR,2022-04-03 01:18:47,-30.1811,-50.2056,70.56,77,2,19.55
257,Forlimpopoli,IT,2022-04-03 01:18:47,44.1911,12.1287,42.66,88,0,4.61
258,Plouzane,FR,2022-04-03 01:18:47,48.3833,-4.6167,37.45,84,0,4.61
259,Ventspils,LV,2022-04-03 01:18:48,57.3894,21.5606,30.13,59,0,4.61
260,Markova,UA,2022-04-03 01:18:48,48.6758,24.4138,29.66,94,100,4.09
261,Rafsanjan,IR,2022-04-03 01:18:48,30.4067,55.9939,65.12,16,3,7.18
262,Christchurch,NZ,2022-04-03 01:15:00,-43.5333,172.6333,71.42,72,12,9.22
263,Vila Velha,BR,2022-04-03 01:18:49,-20.3297,-40.2925,78.94,89,75,3.44
264,Hamilton,US,2022-04-03 01:18:49,39.1834,-84.5333,50.23,59,100,9.22
265,Louis Trichardt,ZA,2022-04-03 01:18:49,-23.0439,29.9032,64.35,75,0,1.97
266,Constantine,DZ,2022-04-03 01:18:50,36.365,6.6147,33.21,93,0,0.0
267,Vardo,NO,2022-04-03 01:18:50,70.3705,31.1107,27.99,71,100,8.66
268,Cockburn Town,TC,2022-04-03 01:18:50,21.4612,-71.1419,77.88,78,0,19.19
269,Port Hedland,AU,2022-04-03 01:18:51,-20.3167,118.5667,89.65,48,5,10.36
270,Waipawa,NZ,2022-04-03 01:19:51,-41.4122,175.5153,64.76,71,6,3.6
271,Bara,NG,2022-04-03 01:18:03,10.3744,10.7288,78.71,11,100,3.96
272,Barabinsk,RU,2022-04-03 01:19:52,55.3571,78.357,31.82,99,100,6.67
273,Idlib,SY,2022-04-03 01:19:52,35.9306,36.6339,57.58,45,43,3.29
274,Ponta Delgada,PT,2022-04-03 01:19:52,37.7333,-25.6667,57.92,88,20,6.91
275,Acari,PE,2022-04-03 01:19:53,-15.4311,-74.6158,72.82,76,54,3.33
276,Provideniya,RU,2022-04-03 01:19:53,64.3833,-173.3,18.36,52,0,11.88
277,Wuwei,CN,2022-04-03 01:19:53,37.9281,102.6414,49.48,23,100,4.03
278,Imuris,MX,2022-04-03 01:19:54,30.7833,-110.8667,76.64,16,0,10.51
279,Weiser,US,2022-04-03 01:18:34,44.251,-116.9693,60.31,33,0,3.0
280,Margate,GB,2022-04-03 01:19:54,51.3813,1.3862,39.69,60,22,3.0
281,Oga,IT,2022-04-03 01:19:54,46.4631,10.347,23.68,98,99,4.74
282,Airai,TL,2022-04-03 01:19:55,-8.9266,125.4092,71.42,47,60,1.7
283,Te Anau,NZ,2022-04-03 01:19:55,-45.4167,167.7167,68.02,38,89,0.34
284,Rorvik,NO,2022-04-03 01:19:55,64.8621,11.2373,35.78,70,100,19.53
285,Nanortalik,GL,2022-04-03 01:19:56,60.1432,-45.2371,35.73,92,100,8.57
286,Voi,KE,2022-04-03 01:19:56,-3.3945,38.563,71.74,92,100,4.63
287,Hobyo,SO,2022-04-03 01:16:17,5.3505,48.5268,80.28,75,18,9.44
288,San Quintin,MX,2022-04-03 01:19:56,30.4833,-115.95,61.47,70,100,10.4
289,Camacha,PT,2022-04-03 01:19:57,33.0833,-16.3333,58.42,77,40,11.5
290,Coahuayana,MX,2022-04-03 01:19:57,18.7333,-103.6833,72.46,75,0,4.74
291,Carballo,ES,2022-04-03 01:19:57,43.213,-8.691,45.01,77,5,4.09
292,Mayahi,NE,2022-04-03 01:19:58,13.9553,7.6712,79.88,6,100,7.16
293,Ilulissat,GL,2022-04-03 01:19:58,69.2167,-51.1,24.82,80,100,4.61
294,San Cristobal,VE,2022-04-03 01:17:32,7.7669,-72.225,75.38,75,56,2.62
